created ,true
name ,name
favorite_fruit ,Banana
contact_method ,Mail
hobbies ,Traveling
patientName ,va fdsc
WRONGTYPE Operation against a key holding the wrong kind of value ,
patientName ,32re
name ,John
surname ,Smith
company ,Redis
age ,29
patientName ,Johann
name ,hanna
favorite_fruit ,Apple
contact_method ,Email
hobbies ,Reading
WRONGTYPE Operation against a key holding the wrong kind of value ,
created ,true
created ,true
WRONGTYPE Operation against a key holding the wrong kind of value ,
age ,fagd
wellbeing ,fdws
patientName ,fadscasdqf
edwc ,wefc
d ,e2
WRONGTYPE Operation against a key holding the wrong kind of value ,
exercise ,Alles
diet ,Dry vodka martinis
name ,name
favorite_fruit ,Apple
contact_method ,Email
hobbies ,Reading
name ,James
favorite_fruit ,Cherry
contact_method ,Mail
hobbies ,Traveling
model ,Deimos
brand ,Ergonom
type ,Enduro bikes
price ,4972
WRONGTYPE Operation against a key holding the wrong kind of value ,
age ,12
wellbeing ,12
age ,3
name ,luhdwef
favorite_fruit ,Banana
contact_method ,Phone
hobbies ,Reading
name ,haha
favorite_fruit ,Banana
contact_method ,Phone
hobbies ,Reading
model ,schwalbe
brand ,phönix
typ ,einfach ein Rad
preis ,1234
key ,value
station ,gsdf
fer ,vgrew
data ,good
dwe ,eewdfw
patientName ,hannes
data ,22
patientName ,veqrwfcda
data ,poor
patientName ,fadscasd
height ,123
weight ,23
patientName ,12345
WRONGTYPE Operation against a key holding the wrong kind of value ,
age ,43
wellbeing ,3
patientName ,Karl
created ,true
WRONGTYPE Operation against a key holding the wrong kind of value ,
hefezopf ,mag er
created ,true
WRONGTYPE Operation against a key holding the wrong kind of value ,
created ,true
2df ,fe
patientName ,peter
another ky ,another value
anotherKey ,another value
key12 ,value
name ,noch mal ander
favorite_fruit ,Apple
contact_method ,Email
hobbies ,
WRONGTYPE Operation against a key holding the wrong kind of value ,
name ,null
favorite_fruit ,Apple
contact_method ,Phone
hobbies ,Traveling
WRONGTYPE Operation against a key holding the wrong kind of value ,
created ,true
brot ,ja, isst er
WRONGTYPE Operation against a key holding the wrong kind of value ,
height ,23
weight ,4
created ,true
key ,Steckerleiste
value ,Brennenstuhl
key1 ,value1
key2 ,value2
patientName ,Herbert
created ,true
WRONGTYPE Operation against a key holding the wrong kind of value ,
name ,dqwe
favorite_fruit ,Cherry
contact_method ,Phone
hobbies ,Traveling
patientName ,Patient
patientName ,43gfq
WRONGTYPE Operation against a key holding the wrong kind of value ,
created ,true
patientName ,gdfsf
created ,true
model ,Gazelle
brand ,Braun
price ,1234
